city,city_ar,state,state_ar,latitude,longitude,dif,dni,ghi,gti,opta,pvout,temp
khartoum,الخرطوم,khartoum,ولاية الخرطوم,15.500654,32.559898,2.57,5.09,6.21,6.51,20,4.93,30.0
omdurman,أم درمان,khartoum,ولاية الخرطوم,15.65,32.483334,2.55,5.03,6.15,6.45,20,4.9,30.0
bahri,بحري,khartoum,ولاية الخرطوم,15.6333,32.6333,2.59,5.13,6.25,6.56,20,4.96,30.0
port sudan,بورتسودان,red sea,ولاية البحر الأحمر,19.616667,37.216667,2.58,4.48,5.79,6.05,19,4.64,30.0
suakin,سواكن,red sea,ولاية البحر الأحمر,19.1,37.333333,2.64,4.11,5.63,5.86,18,4.52,30.0
tokar,طوكر,red sea,ولاية البحر الأحمر,18.433333,37.716667,2.69,3.56,5.3,5.46,16,4.18,30.0
sinkat,سنكات,red sea,ولاية البحر الأحمر,18.866667,36.883333,2.38,5.19,6.1,6.37,19,4.95,20.0
aroma,أروما,red sea,ولاية البحر الأحمر,17.0,36.283333,2.51,5.4,6.29,6.66,21,5.05,30.0
jebeit,جبيت,red sea,ولاية البحر الأحمر,17.85,36.9,2.36,5.69,6.36,6.74,22,5.16,30.0
nyala,نيالا,south darfur,ولاية جنوب دارفور,12.05,24.9,2.49,5.34,6.32,6.56,18,5.0,30.0
el fasher,الفاشر,north darfur,ولاية شمال دارفور,13.63,25.35,2.53,5.42,6.39,6.67,19,5.08,30.0
kabkabiya,كبكابية,north darfur,ولاية شمال دارفور,13.453,24.29,2.34,5.77,6.41,6.71,19,5.16,20.0
kutum,كتم,north darfur,ولاية شمال دارفور,14.2,24.666667,2.4,5.85,6.53,6.86,20,5.26,20.0
el daein,الضعين,east darfur,ولاية شرق دارفور,11.46,26.13,2.48,5.19,6.23,6.44,17,4.91,30.0
geneina,الجنينة,west darfur,ولاية غرب دارفور,13.45,22.45,2.51,5.4,6.37,6.64,19,5.06,30.0
zalingei,زالنجي,central darfur,ولاية وسط دارفور,12.909,23.474,2.43,5.39,6.28,6.55,19,4.98,30.0
